Game,Recommended Games
World of Goo,"['World of Goo', 'Space Giraffe', 'The Maw: Speeder Lane', 'Fortix', 'Madballs B*D*I Clan Skins']"
X3: Terran Conflict,"['Arma 2: British Armed Forces', 'ARMA: Cold War Assault', 'Iron Sky: Invasion', 'Port Royale 3: New Adventures DLC', 'Men of War: Assault Squad 2']"
Mare Nostrum,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Spectraball,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Galactic Bowling,"['TableTop Cricket', 'Canyon Capers - Rio Fever', '""Glow Ball"" - The billiard puzzle game', 'Star Balls', 'Lighthockey']"
Bully: Scholarship Edition,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Far Cry® 2: Fortune's Edition,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Space Trader: Merchant Marine,"['Space Trader: Merchant Marine', 'APOX', 'Anomaly: Warzone Earth', 'Orcs Must Die! - Artifacts of Power', 'Orcs Must Die! - Lost Adventures']"
PRR Wagon Pack 01,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
"Class 421 London South East ""Jaffa Cake""","['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
ATSF Wagon Pack 01,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
GP20 Union Pacific Add-on Livery,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
UK Van Wagon Pack,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
CSX SD70MAC Add-on Livery,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
CSX ES44AC Add-on Livery,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Saints Row 2,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Dead Space,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Rise of the Argonauts,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
Mirror's Edge™,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Defense Grid: The Awakening,"['Defense Grid: The Awakening', 'Harvest: Massive Encounter', 'Mayhem Intergalactic', 'Defense Grid: Resurgence Map Pack 1', 'Star Ruler']"
F.E.A.R. 2: Project Origin,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Harvest: Massive Encounter,"['Defense Grid: The Awakening', 'Harvest: Massive Encounter', 'Mayhem Intergalactic', 'Defense Grid: Resurgence Map Pack 1', 'Star Ruler']"
Mayhem Intergalactic,"['Defense Grid: The Awakening', 'Harvest: Massive Encounter', 'Mayhem Intergalactic', 'Defense Grid: Resurgence Map Pack 1', 'Star Ruler']"
Larva Mortus,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Knights of Honor,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Ceville,"['Ceville', ""Oddworld: Munch's Oddysee"", ""Oddworld: Stranger's Wrath HD"", 'Antisquad: Tasks in Mexico - Final. Tactics DLC', 'Antisquad: Tasks near the coast of Somalia. Tactics DLC']"
Empire: Total War™ - Special Forces Units &amp; Bonus Content,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Watchmen: The End is Nigh,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Penumbra Overture,"['Penumbra Overture', 'Amnesia: The Dark Descent', 'The Ball', ""Tobe's Vertical Adventure"", 'Trine 2: Complete Story']"
Unreal Tournament 3 Black,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Drakensang,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
The Graveyard,"['The Graveyard', 'Hacker Evolution: Untold', 'Euro Truck Simulator 2 - Going East!', 'Hardcore Package Part 1 / for Hacker Evolution', 'Euro Truck Simulator 2 - Ice Cold Paint Jobs Pack']"
Burnout Paradise: The Ultimate Box,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
The Maw,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
The Maw: River Redirect,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
The Maw: Brute Force,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Obulis,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Space Giraffe,"['World of Goo', 'Space Giraffe', 'The Maw: Speeder Lane', 'Fortix', 'Madballs B*D*I Clan Skins']"
Codename: Panzers - Cold War,"['Pacific Storm Allies', 'Children of the Nile: Alexandria', 'City Life 2008', 'Codename: Panzers - Cold War', 'Tropico Reloaded']"
Escape Rosecliff Island,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Guild Wars Nightfall®,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
Guild Wars® Game of the Year Edition,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
Guild Wars Factions®,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
Guild Wars Trilogy,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
Puzzle Kingdoms,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Samantha Swift and the Golden Touch,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Two Worlds Epic Edition,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
Helldorado,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
X-Blades,"['The Longest Journey', 'X-Blades', ""The Bard's Tale"", 'The Baconing', 'The Baconing DLC - Roesha – One Bad Mutha Co-op Character']"
Zeno Clash,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
The Maw: Speeder Lane,"['World of Goo', 'Space Giraffe', 'The Maw: Speeder Lane', 'Fortix', 'Madballs B*D*I Clan Skins']"
King's Bounty: The Legend,"[""King's Bounty: The Legend"", 'Freedom Force vs. the Third Reich', 'Freedom Force', 'SpellForce 2 - Anniversary Edition', 'Disciples III - Renaissance Steam Special Edition']"
Virtual Families,"['Virtual Families', 'Coconut Queen', 'Rocksmith - Queen - Keep Yourself Alive', 'Rocksmith - My Chemical Romance - Planetary (GO!)', 'Rocksmith - 3 Doors Down - 3-Song Pack']"
Death Track®: Resurrection,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Freedom Force vs. the Third Reich,"[""King's Bounty: The Legend"", 'Freedom Force vs. the Third Reich', 'Freedom Force', 'SpellForce 2 - Anniversary Edition', 'Disciples III - Renaissance Steam Special Edition']"
Freedom Force,"[""King's Bounty: The Legend"", 'Freedom Force vs. the Third Reich', 'Freedom Force', 'SpellForce 2 - Anniversary Edition', 'Disciples III - Renaissance Steam Special Edition']"
Light of Altair,"['Gratuitous Space Battles', 'Gratuitous Space Battles: The Tribe', 'Making History II: The War of the World', 'Gratuitous Space Battles: Galactic Conquest', 'Gratuitous Space Battles: The Parasites']"
Darkest Hour: Europe '44-'45,"['Super Thunder Blade™', 'Virtua Fighter™ 2', 'Red Orchestra 2: Heroes of Stalingrad with Rising Storm', 'Air Conflicts: Secret Wars', 'X3: Albion Prelude']"
Prototype™,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Port Royale 2,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
The Elder Scrolls IV: Oblivion® Game of the Year Edition,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
The Elder Scrolls III: Morrowind® Game of the Year Edition,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
Ankh 2: Heart of Osiris,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Armored Fist 3,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
MiG-29 Fulcrum,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
BC Kings,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Call of Juarez®: Bound in Blood,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Nancy Drew®: Legend of the Crystal Skull,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Nancy Drew®: The Creature of Kapu Cave,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Nancy Drew®: The Phantom of Venice,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Nancy Drew®: The White Wolf of Icicle Creek,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
BRAINPIPE: A Plunge to Unhumanity,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Hunting Unlimited 2010,"['Carp Fishing Simulator', 'Euro Fishing', 'Eastside Hockey Manager', 'Pro Basketball Manager 2016', 'RC Plane 3 - Canyon Scenario']"
Tales of Monkey Island Complete Pack,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Street Fighter® IV,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Thrillville®: Off the Rails™,"['Arma 3 Karts', 'Space Rangers HD: A War Apart', 'Battle Royale Trainer', 'Hunting Unlimited™ 2008', 'X3: Terran Conflict']"
Indiana Jones® and the Fate of Atlantis™,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Armed and Dangerous®,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
"Star Wars: Battlefront 2 (Classic, 2005)","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Indiana Jones® and the Last Crusade™,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
LEGO® Indiana Jones™: The Original Adventures,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
The Secret of Monkey Island: Special Edition,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Warfare,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Clutch,"['Crash Time 2', 'Post Apocalyptic Mayhem: DLC - Chaos Pack', 'Death Rally', 'Sleeping Dogs - Street Racer Pack', 'Trials Evolution: Gold Edition']"
Nancy Drew®: Ransom of the Seven Ships,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
3D Ultra™ Minigolf Adventures,"['Cricket Captain 2014', 'Virtual Pool 4', 'Actua Golf 3', 'Pro Basketball Manager 2016 - US Edition', 'Hunting Unlimited 2010']"
King's Quest™ Collection,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
TimeShift™,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Space Quest™ Collection,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Killing Floor Outbreak Character Pack,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Aces of the Galaxy™,"['Flight Control HD', 'Hidden in Plain Sight', 'Moorhuhn (Crazy Chicken)', 'Moorhuhn Invasion (Crazy Chicken Invasion)', 'Kalimba']"
Tropico Reloaded,"['Pacific Storm Allies', 'Children of the Nile: Alexandria', 'City Life 2008', 'Codename: Panzers - Cold War', 'Tropico Reloaded']"
Mystery P.I. - Lost in Los Angeles,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Bionic Commando: Rearmed,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Bionic Commando,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Watchmen: The End is Nigh Part 2,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Foreign Legion: Buckets of Blood,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
STAR WARS™ - Knights of the Old Republic™,"['Sherlock Holmes - Nemesis', 'STAR WARS™ - Knights of the Old Republic™', 'Epic Battle Fantasy 4', 'Dysan the Shapeshifter', 'Challenge of the Five Realms: Spellbound in the World of Nhagardia']"
Osmos,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Fallout 2: A Post Nuclear Role Playing Game,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
Fallout Tactics: Brotherhood of Steel,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Kingpin — Life of Crime,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Jewel Quest Pack,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Mahjong Quest Collection,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack","['Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack', 'Machinarium', 'The Misadventures of P.B. Winterbottom', 'Puzzle Bots', 'Clones']"
Tom Clancy's Splinter Cell Chaos Theory®,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Crash Time 2,"['Crash Time 2', 'Post Apocalyptic Mayhem: DLC - Chaos Pack', 'Death Rally', 'Sleeping Dogs - Street Racer Pack', 'Trials Evolution: Gold Edition']"
XIII Century – Gold Edition,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
World of Zoo,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
18 Wheels of Steel: Extreme Trucker,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Mini Ninjas,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Freeze Tag Fun Pack #2,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Freeze Tag Fun Pack #1,"['PuzzleQuest: Challenge of the Warlords', 'Mystery P.I.™ - The Vegas Heist', 'Luxor', 'Reaxxion', 'Little Farm']"
Windosill,"['Doc Clock: The Toasted Sandwich of Time', ""Hamilton's Great Adventure"", 'Toki Tori 2+', 'The Dream Machine: Chapter 4', 'InFlux']"
Train Simulator: Colton &amp; Northern Route Add-On,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Midnight Mysteries,"['Iron Roses', 'Drawn®: The Painted Tower', 'Myst: Masterpiece Edition', 'Puzzle Agent 2', 'Pickers']"
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Joint Operations: Combined Arms Gold,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Train Simulator: US Loco &amp; Asset Pack,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
DinerTown Tycoon,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Train Simulator: European Loco &amp; Asset Pack,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
